#  | Alias                                                    | Name                                                              | Enabled | Refresh | Priority | URI
---+----------------------------------------------------------+-------------------------------------------------------------------+---------+---------+----------+--------------------------------------------------------------
 1 | SMT-http_lin-nup_prod_bk_dfs:SLE11-SDK-SP2-Core          | SLE11-SDK-SP2-Core                                                | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLE11-SDK-SP2-Core/sle-1
 2 | SMT-http_lin-nup_prod_bk_dfs:SLE11-SDK-SP2-Updates       | SLE11-SDK-SP2-Updates                                             | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLE11-SDK-SP2-Updates/sl
 3 | SMT-http_lin-nup_prod_bk_dfs:SLE11-SP2-Debuginfo-Core    | SLE11-SP2-Debuginfo-Core                                          | No      | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLE11-SP2-Debuginfo-Core
 4 | SMT-http_lin-nup_prod_bk_dfs:SLE11-SP2-Debuginfo-Updates | SLE11-SP2-Debuginfo-Updates                                       | No      | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLE11-SP2-Debuginfo-Upda
 5 | SMT-http_lin-nup_prod_bk_dfs:SLED11-SP2-Core             | SLED11-SP2-Core                                                   | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLED11-SP2-Core/sle-11-i
 6 | SMT-http_lin-nup_prod_bk_dfs:SLED11-SP2-Updates          | SLED11-SP2-Updates                                                | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLED11-SP2-Updates/sle-1
 7 | SMT-http_lin-nup_prod_bk_dfs:SLES11-SP2-Core             | SLES11-SP2-Core                                                   | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLES11-SP2-Core/sle-11-i
 8 | SMT-http_lin-nup_prod_bk_dfs:SLES11-SP2-Extension-Store  | SLES11-SP2-Extension-Store                                        | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLES11-SP2-Extension-Sto
 9 | SMT-http_lin-nup_prod_bk_dfs:SLES11-SP2-Updates          | SLES11-SP2-Updates                                                | Yes     | Yes     |   99     | http://lin-nup.prod.bk.dfs/repo/$RCE/SLES11-SP2-Updates/sle-1
10 | SUSE-Linux-Enterprise-Desktop-11-SP2                     | SUSE-Linux-Enterprise-Desktop-11-SP2 11.2.2-1.193                 | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/os/sled11sp2-32
11 | SUSE-Linux-Enterprise-Server-11-SP2 11.2.2-1.234         | SUSE-Linux-Enterprise-Server-11-SP2 11.2.2-1.234                  | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/os/sles11sp2-32
12 | SUSE-Linux-Enterprise-Software-Development-Kit-11-SP2    | SUSE-Linux-Enterprise-Software-Development-Kit-11-SP2 11.2.2-1.66 | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/os/sle11sp2-sdk-32
13 | addons                                                   | addons                                                            | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/repo/addons
14 | addons-sles11sp2-32                                      | addons-sles11sp2-32                                               | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/repo/addons-sles11sp2-32
15 | apps                                                     | apps                                                              | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/repo/apps
16 | apps-sles11sp2-32                                        | apps-sles11sp2-32                                                 | Yes     | Yes     |   99     | nfs://is01/srv/inst/sw/repo/apps-sles11sp2-32
17 | patches-sles11sp2-32                                     | patches-sles11sp2-32                                              | Yes     | No      |   99     | nfs://is01/srv/inst/sw/repo/patches-sles11sp2-32
18 | sle11sp2-hae-32                                          | sle11sp2-hae-32                                                   | Yes     | Yes     |   99     | file:/srv/inst/sw/os/sle11sp2-hae-32
19 | vrr                                                      | vrr                                                               | Yes     | Yes     |   99     | file:/srv/inst/sw/repo/vrr
